Date,Month,Year,Flow,TSS ,NH3 ,NO3 ,NO2,PO4 ,OrthoP,OrgN
3/31/1986,3,1986,130,0.7,1.5,15.7,0.1,14.5,,1.1
4/30/1986,4,1986,120,1,1.6,16.1,0.1,13.5,,1.1
5/31/1986,5,1986,119,0.9,1.8,16.1,0.1,12.7,,0.9
6/30/1986,6,1986,120,1.2,1.8,16.5,0.1,18.2,,1.3
7/31/1986,7,1986,122,1.5,1.8,13.2,0,15.2,,1.2
8/31/1986,8,1986,122,0.8,1.8,12.4,0.1,12.3,,0.9
9/30/1986,9,1986,121,1.1,1.7,17.3,0.2,16.9,,1.2
10/31/1986,10,1986,118,0.7,1.9,19,0.1,10.4,,2.8
11/30/1986,11,1986,117,1,2,20.9,0.1,15.8,,1.1
12/31/1986,12,1986,117,1.1,1.9,19,0.2,18.7,,0.8
1/31/1987,1,1987,118,2.3,1.8,19,0.2,9.3,,2.0
2/28/1987,2,1987,119,1.3,1.8,16.8,0.2,10.7,,1.5
3/31/1987,3,1987,119,1.3,1.9,18.2,0.1,12.4,,1.9
4/30/1987,4,1987,118,1.1,1.6,18.2,0,15.4,,1.5
5/31/1987,5,1987,118,0.7,2,19,0.1,11.6,,2.1
6/30/1987,6,1987,121,1.3,2.1,17.7,0.1,10.9,,1.1
7/31/1987,7,1987,123,0.8,2.1,15.8,0.1,19.3,,1.1
8/31/1987,8,1987,126,1.5,2,13.3,0,7.8,,1.4
9/30/1987,9,1987,124,1.1,1.4,17,0,17.1,,1.2
10/31/1987,10,1987,121,1.5,2.1,21.3,0,14.9,,0.2
11/30/1987,11,1987,118,1.2,2.1,20,0.2,13.5,,1.5
12/31/1987,12,1987,118,1.3,0.7,21.8,0.1,11.3,,1.6
1/31/1988,1,1988,121,1.3,1.2,21.2,0.1,24.8,,2.1
2/29/1988,2,1988,119,0.8,1.2,22.3,0.1,20.1,,0.4
3/31/1988,3,1988,121,1.2,0.1,22.8,0,19.6,,1.5
4/30/1988,4,1988,120,1.1,0.1,21.9,0,19,,0.6
5/31/1988,5,1988,117,1.3,1.6,18.6,0.1,11.3,,0.8
6/30/1988,6,1988,118,1,2,16.1,0.1,19.2,,2.6
