,NO3 mg/L N,Time
662,1.6,2012-09-11 08:23:00
663,4.6,2012-09-11 17:00:00
664,1.7,2012-09-18 08:46:00
665,1.8,2012-09-18 09:13:00
666,1.7,2012-09-18 09:25:00
667,1.6,2012-09-18 09:32:00
668,2.0,2012-09-18 09:48:00
669,5.4,2012-09-18 17:00:00
670,1.9,2012-09-25 08:25:00
671,2.1,2012-09-25 08:36:00
672,2.0,2012-09-25 08:43:00
673,2.1,2012-09-25 08:55:00
674,2.0,2012-09-25 09:17:00
675,5.2,2012-09-25 17:00:00
676,1.8,2012-10-02 08:50:00
677,1.9,2012-10-02 09:25:00
678,2.1,2012-10-02 09:40:00
679,2.1,2012-10-02 09:53:00
680,2.1,2012-10-02 10:07:00
681,5.4,2012-10-02 10:58:00
682,1.8,2012-10-09 07:44:00
683,1.9,2012-10-09 07:56:00
684,1.7,2012-10-09 08:03:00
685,1.7,2012-10-09 08:13:00
686,1.3,2012-10-09 08:40:00
687,5.1,2012-10-09 09:42:00
688,2.0,2012-10-16 08:37:00
689,2.0,2012-10-16 09:06:00
690,2.0,2012-10-16 09:31:00
691,1.9,2012-10-16 09:50:00
692,1.8,2012-10-16 10:13:00
693,4.4,2012-10-16 11:36:00
694,1.1,2012-10-23 12:43:00
695,1.0,2012-10-23 13:06:00
696,0.92,2012-10-23 13:18:00
697,0.86,2012-10-23 13:25:00
698,0.83,2012-10-23 13:34:00
699,5.1,2012-10-23 14:32:00
700,1.2,2012-10-30 10:39:00
701,1.1,2012-10-30 11:13:00
702,1.1,2012-10-30 11:27:00
703,1.1,2012-10-30 11:32:00
704,1.2,2012-10-30 11:42:00
705,5.0,2012-10-30 12:47:00
706,1.5,2012-11-05 08:33:00
707,1.6,2012-11-05 09:00:00
708,1.6,2012-11-05 09:08:00
709,1.6,2012-11-05 09:12:00
710,1.6,2012-11-05 09:27:00
711,4.6,2012-11-05 17:00:00
712,1.0,2012-11-13 08:15:00
713,1.8,2012-11-13 08:39:00
714,1.9,2012-11-13 09:05:00
715,1.8,2012-11-13 09:14:00
716,1.7,2012-11-13 09:29:00
717,4.8,2012-11-13 17:00:00
718,1.6,2012-11-20 10:32:00
719,1.7,2012-11-20 10:50:00
720,1.7,2012-11-20 10:58:00
721,1.7,2012-11-20 11:04:00
722,1.5,2012-11-20 11:12:00
723,6.1,2012-11-20 17:00:00
724,1.1,2012-11-27 08:11:00
725,1.3,2012-11-27 08:28:00
726,1.4,2012-11-27 08:42:00
727,1.3,2012-11-27 08:47:00
728,1.3,2012-11-27 08:56:00
729,5.2,2012-11-27 17:00:00
730,1.8,2012-12-04 07:45:00
731,1.6,2012-12-04 08:04:00
732,1.5,2012-12-04 08:13:00
733,1.4,2012-12-04 08:18:00
734,1.4,2012-12-04 08:26:00
